imdb_title_id	title	year	genre	director	avg_vote
tt0002101	Cleopatra	1912	Drama, History	Charles L. Gaskill	5.2
tt0002646	Atlantis	1913	Drama	August Blom	6.6
tt0003740	Cabiria	1914	Adventure, Drama, History	Giovanni Pastrone	7.1
tt0003772	Cinderella	1914	Fantasy, Drama	James Kirkwood	6.0
tt0004134	Hypocrites	1915	Drama	Lois Weber	6.6
tt0005060	Carmen	1915	Drama	Cecil B. DeMille	6.4
tt0005680	Maciste	1915	Adventure	Luigi Romano Borgnetto, Vincenzo Denizot	5.9
tt0006517	Civilization	1915	Drama	Reginald Barker, Thomas H. Ince	6.0
tt0006617	Dödskyssen	1916	Comedy, Crime, Drama	Victor Sjöström	6.1
tt0006864	Intolerance	1916	Drama, History	D.W. Griffith	7.8
tt0006886	Judex	1916	Adventure, Crime	Louis Feuillade	7.4
tt0007340	Shoes	1916	Drama	Lois Weber	6.8
tt0007522	Vingarne	1916	Drama	Mauritz Stiller	5.8
tt0007801	Cleopatra	1917	Biography, Drama, History	J. Gordon Edwards	6.5
tt0007983	Furcht	1917	Horror	Robert Wiene	6.1
tt0008279	Desiderata	1917	Drama	Abel Gance	6.4
tt0009153	Indemoniato	1918	Western	John Ford	6.1
tt0009369	Mickey	1918	Comedy, Drama	F. Richard Jones, James Young	5.9
tt0010208	Harakiri	1919	Drama	Fritz Lang	5.6
tt0010298	Ingmarssönerna	1919	Drama	Victor Sjöström	6.9
tt0010598	Præsidenten	1919	Drama	Carl Theodor Dreyer	6.6
tt0010844	Victory	1919	Drama, Romance	Maurice Tourneur	6.6
tt0011157	Erotikon	1920	Comedy, Romance	Mauritz Stiller	6.6
tt0011221	Genuine	1920	Horror	Robert Wiene	6.0
tt0011317	Humoresque	1920	Drama	Frank Borzage	6.2
tt0011588	Pollyanna	1920	Family, Comedy, Drama	Paul Powell	6.4
tt0011679	Sex	1920	Drama	Fred Niblo	6.0
tt0011741	Suds	1920	Comedy, Drama, Romance	John Francis Dillon	6.3
tt0011742	Sumurum	1920	Adventure, Drama, Romance	Ernst Lubitsch	6.1
tt0012027	Camille	1921	Drama, Romance	Ray C. Smallwood	6.6
